id;nom;id depto
1094;Villavieja;17
1095;Villeta;14
1096;Viotá;14
1097;Viracachá;6
1098;Vista Hermosa;20
1099;Viterbo;7
1100;Yacopí;14
1101;Yacuanquer;21
1102;Yaguará;17
1103;Yalí;2
1104;Yarumal;2
1105;Yavaraté;31
1106;Yolombó;2
1107;Yondó;2
1108;Yopal;9
1109;Yotoco;30
1110;Yumbo;30
1111;Zambrano;5
1112;Zapatoca;27
1113;Zapayan;19
1114;Zaragoza;2
1115;Zarzal;30
1116;Zetaquira;6
1117;Zipacon;14
1118;Zipaquirá;14
1119;Zona Bananera;19
